LLM_Prediction,GNN_Initial,Actual_Label,error_llm
0.7379688322544098,0.4759376645088196,0.0,0.7379688322544098
0.7862480878829956,0.5724961757659912,0.0,0.7862480878829956
0.7462818473577499,0.4925636947154999,0.0,0.7462818473577499
0.8566680908492172,0.9312466382980347,1.0,-0.14333190915078275
0.9840758085451372,0.9574168920516968,1.0,-0.01592419145486279
0.3090861141681671,0.3090861141681671,0.0,0.3090861141681671
0.8199520236941256,0.8305618166923523,1.0,-0.18004797630587444
0.8108142912387848,0.6216285824775696,1.0,-0.1891857087612152
1.0,0.9052542448043823,1.0,0.0
0.9112517535686493,0.8225035071372986,1.0,-0.08874824643135071
0.9515094693706906,0.8889671564102173,1.0,-0.048490530629309414
0.7879115665072869,0.7467056512832642,1.0,-0.2120884334927131
0.6546659778231237,0.5945071578025818,1.0,-0.34533402217687625
1.0,0.8434513807296753,0.0,1.0
0.4479677379131317,0.8959354758262634,0.0,0.4479677379131317
0.6055120697415325,0.6018795967102051,1.0,-0.3944879302584675
0.9638961851596832,0.9277923703193665,1.0,-0.03610381484031677
0.9421378142339653,0.796580970287323,1.0,-0.057862185766034746
0.5603924486913817,0.0361316055059433,0.0,0.5603924486913817
0.6784477111826658,0.4530395567417145,1.0,-0.3215522888173342
0.9741777777671814,0.9483555555343628,1.0,-0.025822222232818604
0.831214625705109,0.8820648789405823,1.0,-0.16878537429489104
0.9558993875980377,0.9117987751960754,1.0,-0.04410061240196228
0.9710896611213684,0.9421793222427368,1.0,-0.028910338878631592
0.7194161176372131,0.8107438087463379,0.0,0.7194161176372131
0.5977115868766915,0.6220582127571106,0.0,0.5977115868766915
0.6258844189226083,0.6784943342208862,0.0,0.6258844189226083
0.5805024103791105,0.6024498343467712,0.0,0.5805024103791105
0.9845294916145201,0.9695340394973755,1.0,-0.01547050838547992
0.9249970018863678,0.8499940037727356,1.0,-0.0750029981136322
0.694498641204227,0.7739443778991699,1.0,-0.305501358795773
0.855177354763761,0.42838501930236816,0.0,0.855177354763761
0.5580677523332483,0.512826681137085,0.0,0.5580677523332483
0.8896204233169556,0.7792408466339111,1.0,-0.11037957668304443
0.8417039347964458,0.888666570186615,0.0,0.8417039347964458
0.9535841643810272,0.9071683287620544,1.0,-0.04641583561897278
0.5342742428183556,0.06854848563671112,0.0,0.5342742428183556
0.5835906631417332,0.05833848938345909,0.0,0.5835906631417332
